	_id	batch	cell_id	dnGenesSize	geo_id	pert_desc	pert_dose	pert_dose_unit	pert_id	pert_time	pert_time_unit	pert_type	pvalue	replicateCount	sigIdxSize	sig_id	upGenesSize
0	543da211e4b0e6d1d5177107	CPC004_A375_6H	A375	77		NICLOSAMIDE	10.0	um	BRD-K35960502	6.0	h	trt_cp	0.0131	3	198	CPC004_A375_6H:BRD-K35960502:10.0	121
1	543da291e4b0e6d1d517726d	CPC004_HA1E_24H	HA1E	219		NICLOSAMIDE	10.0	um	BRD-K35960502	24.0	h	trt_cp	0.0	3	381	CPC004_HA1E_24H:BRD-K35960502:10.0	162
2	543da31de4b0e6d1d5177471	CPC004_HA1E_6H	HA1E	68		NICLOSAMIDE	10.0	um	BRD-K35960502	6.0	h	trt_cp	0.0022	3	189	CPC004_HA1E_6H:BRD-K35960502:10.0	121
3	543da393e4b0e6d1d5177580	CPC004_HCC515_24H	HCC515	329		NICLOSAMIDE	10.0	um	BRD-K35960502	24.0	h	trt_cp	0.0	3	464	CPC004_HCC515_24H:BRD-K35960502:10.0	135
4	543da410e4b0e6d1d51776e0	CPC004_HCC515_6H	HCC515	101		NICLOSAMIDE	10.0	um	BRD-K35960502	6.0	h	trt_cp	0.0002	3	305	CPC004_HCC515_6H:BRD-K35960502:10.0	204
5	543da48ae4b0e6d1d5177819	CPC004_HEPG2_6H	HEPG2	28		NICLOSAMIDE	10.0	um	BRD-K35960502	6.0	h	trt_cp	0.0169	3	120	CPC004_HEPG2_6H:BRD-K35960502:10.0	92
6	543da59ae4b0e6d1d5177a38	CPC004_HT29_6H	HT29	33		NICLOSAMIDE	10.0	um	BRD-K35960502	6.0	h	trt_cp	0.0001	5	126	CPC004_HT29_6H:BRD-K35960502:10.0	93
7	543da652e4b0e6d1d5177bc5	CPC004_MCF7_6H	MCF7	30		NICLOSAMIDE	10.0	um	BRD-K35960502	6.0	h	trt_cp	0.0006	4	112	CPC004_MCF7_6H:BRD-K35960502:10.0	82
8	543da71de4b0e6d1d5177c6a	CPC004_PC3_24H	PC3	154		NICLOSAMIDE	10.0	um	BRD-K35960502	24.0	h	trt_cp	0.0001	5	379	CPC004_PC3_24H:BRD-K35960502:10.0	225
9	543da818e4b0e6d1d5177da9	CPC004_PC3_6H	PC3	37		NICLOSAMIDE	10.0	um	BRD-K35960502	6.0	h	trt_cp	0.0001	5	149	CPC004_PC3_6H:BRD-K35960502:10.0	112
10	543da964e4b0e6d1d5177f29	CPC004_VCAP_24H	VCAP	130		NICLOSAMIDE	10.0	um	BRD-K35960502	24.0	h	trt_cp	0.0	3	321	CPC004_VCAP_24H:BRD-K35960502:10.0	191
11	543daa13e4b0e6d1d517808d	CPC004_VCAP_6H	VCAP	41		NICLOSAMIDE	10.0	um	BRD-K35960502	6.0	h	trt_cp	0.0001	4	203	CPC004_VCAP_6H:BRD-K35960502:10.0	162
12	543dba4ee4b0e6d1d5179710	CPC006_A375_24H	A375	265		NICLOSAMIDE	10.0	um	BRD-K35960502	24.0	h	trt_cp	0.0	5	527	CPC006_A375_24H:BRD-K35960502:10.0	262
13	543dbbbce4b0e6d1d5179879	CPC006_A375_6H	A375	14		NICLOSAMIDE	10.0	um	BRD-K35960502	6.0	h	trt_cp	0.0018	7	64	CPC006_A375_6H:BRD-K35960502:10.0	50
14	543dbc42e4b0e6d1d5179a44	CPC006_A549_24H	A549	51		NICLOSAMIDE	10.0	um	BRD-K35960502	24.0	h	trt_cp	0.0912	3	109	CPC006_A549_24H:BRD-K35960502:10.0	58
